City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,taltal,-25.4,-70.4833,16.2,78,8,2.4,CL,1696293692
323,al kharijah,25.4514,30.5464,24.55,42,84,4.72,EG,1696293692
324,turtas,58.9417,69.1325,10.82,82,100,3.96,RU,1696293692
325,brookings,44.3114,-96.7984,28.19,46,0,0.89,US,1696293692
326,rampur,28.8167,79.0333,19.93,48,7,3.16,IN,1696293693
327,dakingari,11.6451,4.0605,25.67,83,98,3.39,NG,1696293693
328,kralendijk,12.15,-68.2667,29.99,79,0,3.6,BQ,1696293693
329,machico,32.7,-16.7667,23.35,82,40,5.66,PT,1696293693
330,diyarbakir,37.9158,40.2189,14.99,88,75,0.51,TR,1696293693
331,kapuskasing,49.4169,-82.4331,23.05,64,75,5.66,CA,1696293694
332,priargunsk,50.3691,119.1012,8.77,80,100,1.72,RU,1696293694
333,deqen,29.9618,90.7188,9.82,79,83,1.79,CN,1696293694
334,ferkessedougou,9.6,-5.2,23.39,94,85,1.7,CI,1696293694
335,mount isa,-20.7333,139.5,31.87,22,0,5.66,AU,1696293695
336,mutoko,-17.397,32.2268,10.59,95,0,1.41,ZW,1696293695
337,yala,6.3333,101.25,26.22,85,100,0.83,TH,1696293695
338,barabai,-2.5833,115.3833,31.86,49,80,0.36,ID,1696293695
339,katsuren-haebaru,26.3369,127.8719,30.21,89,75,5.14,JP,1696293696
340,egilsstadir,65.2653,-14.3948,4.95,93,100,6.69,IS,1696293696
341,san patricio,28.017,-97.5169,29.35,81,0,6.08,US,1696293696
342,kidal,18.4411,1.4078,31.74,24,43,4.23,ML,1696293697
343,langepas,61.2544,75.2124,9.12,86,100,5.73,RU,1696293697
344,kitimat,54.0524,-128.6534,13.21,79,59,2.68,CA,1696293697
345,chanute,37.6792,-95.4572,26.82,57,0,2.57,US,1696293442
346,barguzin,53.6167,109.6167,4.1,70,82,2.68,RU,1696293697
347,forked river,39.8398,-74.1901,19.19,84,0,2.35,US,1696293698
348,kruisfontein,-34.0033,24.7314,18.41,36,0,3.32,ZA,1696293669
349,inverloch,-38.6333,145.7167,15.07,93,100,6.64,AU,1696293698
350,muisne,0.6,-80.0333,24.47,81,93,5.57,EC,1696293698
351,mudgal,16.0167,76.4333,22.35,84,100,5.27,IN,1696293698
352,luderitz,-26.6481,15.1594,16.63,71,0,3.26,NA,1696293699
353,geraldton,-28.7667,114.6,18.23,45,100,6.69,AU,1696293699
354,jablonna,52.3788,20.9175,16.16,86,0,3.6,PL,1696293699
355,bikenibeu village,1.3673,173.1241,31.98,70,40,2.57,KI,1696293699
356,comodoro rivadavia,-45.8667,-67.5,4.92,48,0,2.06,AR,1696293700
357,nemuro,43.3236,145.575,15.83,67,6,10.62,JP,1696293693
358,tromso,69.6496,18.957,3.01,87,100,3.09,NO,1696293700
359,kirakira,-10.4544,161.9205,29.54,75,63,5.85,SB,1696293700
360,papao,-17.75,-149.55,26.82,82,0,6.97,PF,1696293700
361,chernyshevskiy,63.0128,112.4714,-2.59,81,95,2.89,RU,1696293701
